"id","user_id","news_id","date","headline_sentiment","headline_polarity","sentence1_sentiment","sentence1_polarity","sentence2_sentiment","sentence2_polarity","sentence3_sentiment","sentence3_polarity","general_sentiment","general_polarity"
"1","3","2689","2025-06-24 03:01:42.549401","5","3","5","3","5","3","5","3","5","3"
"2","3","2925","2025-06-24 03:12:23.664298","1","1","5","3","5","3","1","2","5","2"
"3","9","462","2025-06-24 03:33:54.939593","1","1","1","1","2","3","1","1","1","1"
"4","3","4806","2025-06-24 03:38:02.473481","5","3","2","3","5","3","5","3","5","3"
"5","11","996","2025-06-24 12:14:41.434199","1","1","1","1","5","2","1","1","1","1"
"6","4","1743","2025-06-25 23:58:32.993753","1","1","1","1","1","1","6","1","1","1"
"7","4","2715","2025-06-26 00:00:22.961386","8","2","3","2","6","2","1","1","6","2"
"8","4","3668","2025-06-26 00:10:51.990933","7","2","6","3","6","2","1","1","6","2"
"9","4","1193","2025-06-26 00:15:52.048517","2","3","2","2","2","3","8","2","2","2"
"10","4","3384","2025-06-26 00:17:04.474344","2","1","1","1","1","1","1","1","1","1"
"11","4","4102","2025-06-26 00:23:42.960292","6","1","6","1","2","3","1","1","6","1"
"12","4","3856","2025-06-26 00:26:28.727195","8","2","1","1","5","3","1","1","1","1"
"13","4","1469","2025-06-26 00:28:41.091964","6","2","1","1","2","3","5","3","6","1"
"14","5","2368","2025-06-26 14:33:19.880602","1","1","1","1","8","2","1","1","1","1"
"15","5","3987","2025-06-26 14:36:17.301371","1","1","1","1","2","3","2","3","8","2"
"16","5","872","2025-06-26 14:38:44.119954","5","3","8","2","8","1","1","1","8","1"
"17","5","74","2025-06-26 14:41:22.550153","2","3","5","3","2","3","8","2","2","3"
"18","5","3299","2025-06-26 14:43:27.498403","1","1","1","1","8","2","1","1","1","1"
"19","5","47","2025-06-26 14:49:01.217909","1","1","1","1","1","1","1","1","1","1"
"20","5","2032","2025-06-26 14:52:50.689339","8","2","1","1","1","1","8","2","1","1"
"21","5","4504","2025-06-26 14:55:58.278117","2","3","2","3","2","3","2","3","2","3"
"22","5","3173","2025-06-26 14:57:07.862412","1","1","1","1","1","1","1","1","1","1"
"23","5","3808","2025-06-26 14:58:55.73832","8","2","8","1","1","1","8","2","8","1"
"24","2","1674","2025-06-26 17:33:52.28355","1","1","1","1","1","1","1","1","1","1"
"25","2","2986","2025-06-26 17:34:45.598087","1","1","1","1","1","1","1","1","1","1"
"26","2","303","2025-06-26 17:36:19.506994","6","2","6","2","1","1","6","2","6","2"
"27","2","3351","2025-06-26 17:37:16.254725","1","1","1","1","1","1","1","1","1","1"
"28","2","346","2025-06-26 17:37:27.748797","1","1","1","1","1","1","1","1","1","1"
"29","2","4832","2025-06-26 17:39:30.602186","8","2","8","2","8","2","3","2","8","2"
"30","2","866","2025-06-26 17:40:27.286124","1","1","1","1","1","1","1","1","1","1"
"31","2","2351","2025-06-26 17:41:29.984725","3","3","5","3","5","3","5","3","5","3"
"32","2","359","2025-06-26 17:42:11.198595","5","3","5","3","5","3","5","3","5","3"
"33","2","2457","2025-06-26 17:42:30.091695","5","3","5","3","5","3","5","3","5","3"
"34","2","68","2025-06-26 17:44:35.011305","4","2","4","2","4","2","4","2","4","2"
"35","2","1160","2025-06-26 17:45:18.984251","1","1","1","1","1","1","1","1","1","1"
"36","2","2373","2025-06-26 17:46:21.883728","5","3","8","2","3","3","5","3","5","3"
"37","2","3129","2025-06-26 17:46:34.506147","5","3","8","2","3","3","5","3","5","3"
"38","2","4772","2025-06-26 17:47:21.619988","5","3","5","2","5","3","5","3","5","3"
"39","2","636","2025-06-26 17:47:49.356845","5","3","5","2","5","3","5","3","5","3"
"40","2","4041","2025-06-26 17:48:23.221916","5","3","5","2","5","3","1","1","5","3"
"41","2","183","2025-06-26 17:49:13.204931","5","2","5","2","6","1","1","1","5","2"
"42","2","1411","2025-06-26 17:50:39.669683","1","1","5","2","6","1","1","1","1","1"
"43","2","1595","2025-06-26 17:51:17.532565","1","1","6","2","6","1","1","1","6","1"
"44","2","818","2025-06-26 17:52:21.829781","7","3","3","2","6","1","1","1","6","1"
"45","2","711","2025-06-26 17:53:19.091526","1","1","1","1","1","1","1","1","1","1"
"46","2","913","2025-06-26 17:54:07.978199","5","2","5","2","5","3","3","3","5","2"
"47","2","3539","2025-06-26 17:54:43.272376","5","2","5","2","5","3","3","3","5","2"
"48","2","1107","2025-06-26 17:55:00.475685","5","2","5","2","5","3","3","3","5","2"
"49","2","2728","2025-06-26 17:56:24.592732","5","3","5","2","5","3","5","3","5","3"
"50","2","3686","2025-06-26 17:56:46.552865","5","3","5","2","5","3","5","3","5","3"
"51","2","2761","2025-06-26 17:57:20.657733","5","3","5","2","5","3","5","3","5","3"
"52","2","2375","2025-06-26 17:58:07.829601","5","3","5","2","5","3","5","3","5","3"
"53","2","3923","2025-06-26 17:58:32.186006","5","3","5","2","5","3","5","3","5","3"
"54","2","3719","2025-06-26 17:59:08.795548","5","3","5","2","2","3","2","3","2","3"
"55","8","578","2025-06-27 01:49:25.750241","8","2","8","2","1","1","8","2","8","2"
"56","8","458","2025-06-27 01:51:04.849562","8","2","8","2","1","1","8","2","8","2"
"57","8","2386","2025-06-27 01:52:31.512424","1","1","1","1","1","1","1","1","1","1"
"58","8","741","2025-06-27 01:53:37.744726","6","1","6","1","1","1","8","2","6","1"
"59","8","3111","2025-06-27 01:55:04.701223","8","2","8","2","1","1","8","2","8","2"
"60","8","2653","2025-06-27 01:55:46.60552","8","2","8","2","8","1","8","2","8","2"
"61","8","495","2025-06-27 01:56:42.306174","1","1","1","1","8","2","1","1","1","1"
"62","8","1204","2025-06-27 01:57:38.901147","8","2","8","2","8","2","8","2","8","2"
"63","8","4234","2025-06-27 01:58:42.060223","5","3","5","3","1","1","5","3","5","3"
"64","8","141","2025-06-27 02:00:00.997505","2","3","2","3","2","3","5","3","2","3"
"65","8","4728","2025-06-27 02:02:38.532907","1","1","2","3","1","1","1","1","1","1"
"66","8","2464","2025-06-27 02:04:34.561132","8","2","8","2","1","1","1","1","1","1"
"67","8","2140","2025-06-27 02:05:32.560579","1","1","1","1","1","1","2","3","1","1"
"68","8","4284","2025-06-27 02:05:58.492668","1","1","1","1","1","1","8","2","1","1"
"69","8","1922","2025-06-27 02:06:47.883163","1","1","1","1","1","1","8","2","1","1"
"70","8","3638","2025-06-27 02:07:34.866438","1","1","1","1","1","1","8","2","1","1"
"71","8","25","2025-06-27 02:08:18.716569","1","1","1","1","1","1","8","2","1","1"
"72","8","2485","2025-06-27 02:09:49.675291","8","2","8","2","1","1","8","2","8","2"
"73","8","3915","2025-06-27 02:16:20.107185","5","3","5","3","2","3","8","2","5","3"
"74","8","1134","2025-06-27 02:19:14.597747","1","1","1","1","1","1","1","1","1","1"
"75","8","4230","2025-06-27 02:20:43.594814","2","3","1","1","2","3","5","3","2","3"
"76","8","1152","2025-06-27 02:21:52.420169","1","1","1","1","2","3","8","2","1","1"
"77","8","3747","2025-06-27 02:23:23.428512","1","1","1","1","8","2","5","2","1","1"
"78","8","2552","2025-06-27 02:25:00.868712","2","3","2","3","2","3","2","3","2","3"
"79","8","476","2025-06-27 02:27:13.991655","5","3","5","3","5","3","5","3","5","3"
"80","8","2292","2025-06-27 02:28:00.132211","8","2","8","2","8","2","8","2","8","2"
"81","8","2834","2025-06-27 02:29:13.315785","2","3","1","1","1","1","8","2","1","1"
"82","8","4807","2025-06-27 02:30:12.985032","1","1","1","1","1","1","8","2","1","1"
"83","8","78","2025-06-27 02:32:08.614567","2","3","2","3","2","3","2","3","2","3"
"84","8","4345","2025-06-27 02:32:48.944047","1","1","1","1","1","1","1","1","1","1"
"85","5","1827","2025-06-27 13:48:49.792803","2","3","1","1","2","3","5","2","2","3"
"86","5","2685","2025-06-27 13:50:09.798344","1","1","1","1","1","1","1","1","1","1"
"87","5","644","2025-06-27 13:51:32.613364","1","1","1","1","1","1","8","2","1","1"
"88","5","1015","2025-06-27 13:53:22.542236","7","3","7","3","4","3","7","3","7","3"
"89","5","1861","2025-06-27 13:55:18.410717","2","3","2","3","8","2","8","2","2","3"
"90","5","3575","2025-06-27 13:57:32.328857","5","2","5","3","5","3","8","2","5","3"
"91","5","400","2025-06-27 13:58:37.104451","1","1","1","1","8","3","1","1","1","1"
"92","5","3160","2025-06-27 14:00:21.512509","8","2","8","2","8","1","8","1","8","1"
"93","5","2448","2025-06-27 14:01:53.055266","6","3","6","3","2","3","5","3","6","3"
"94","9","190","2025-06-27 14:02:07.064113","1","1","1","1","1","1","1","1","1","1"
"95","9","1755","2025-06-27 14:05:16.369123","6","2","5","3","4","3","3","3","4","3"
"96","5","3162","2025-06-27 14:05:20.956332","1","1","1","1","8","2","8","1","1","1"
"97","5","1961","2025-06-27 14:07:01.503195","5","3","5","3","2","3","1","1","5","3"
"98","9","1796","2025-06-27 14:08:55.153331","1","1","1","1","1","1","3","3","4","3"
"99","9","3018","2025-06-27 14:09:56.528046","1","1","1","1","1","1","1","1","1","1"
"100","5","1434","2025-06-27 14:10:17.539824","8","2","8","2","8","1","1","1","8","1"
"101","9","1613","2025-06-27 14:10:39.050036","1","1","1","1","1","1","1","1","1","1"
"102","5","4131","2025-06-27 14:12:23.505662","8","2","8","2","7","2","8","1","8","2"
"103","5","1045","2025-06-27 14:13:39.169343","1","1","1","1","8","1","1","1","1","1"
"104","5","242","2025-06-27 14:15:31.818571","8","2","8","2","1","1","1","1","1","1"
"105","5","2450","2025-06-27 14:16:37.950847","8","2","8","2","1","1","1","1","1","1"
"106","5","3779","2025-06-27 14:18:01.794222","1","1","1","1","2","3","1","1","1","1"
"107","5","2187","2025-06-27 14:19:17.596115","2","3","2","3","8","3","8","1","2","3"
"108","5","4802","2025-06-27 14:20:04.400572","6","3","6","3","1","1","5","3","6","3"
"109","5","2571","2025-06-27 14:21:20.144873","5","3","5","3","2","3","2","3","5","3"
"110","9","4144","2025-06-27 14:24:02.521451","5","3","5","3","2","3","5","3","1","1"
"111","9","2795","2025-06-27 14:27:10.035378","1","1","1","1","1","1","1","1","1","1"
"112","9","1085","2025-06-27 14:28:12.554956","1","1","1","1","1","1","3","3","1","1"
"113","9","1683","2025-06-27 14:30:55.681462","6","1","2","3","2","3","8","2","2","3"
"114","9","716","2025-06-27 14:33:10.805794","1","1","1","1","6","2","1","1","1","1"
"115","9","431","2025-06-27 14:34:02.179873","6","1","1","1","6","2","2","3","1","1"
"116","9","3972","2025-06-27 14:37:49.848361","6","3","6","2","2","3","5","3","2","3"
